mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-67.6,149.1,30/37,50,195,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.5-100-50
-67.6,149.1,30/37,30,175,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-30
-67.6,149.1,30/37,35,180,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-35
-67.6,149.1,30/37,40,185,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-40
-67.6,149.1,30/37,45,190,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-45
-47.5,176.0,20/25,50,200,150,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-20.0-100-50
-47.5,176.0,20/25,30,180,150,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-30
-47.5,176.0,20/25,35,185,150,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-35
-47.5,176.0,20/25,40,190,150,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-40
-47.5,176.0,20/25,45,195,150,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.5-100-45
-66.6,125.7,20/25,50,200,150,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-20.0-100-50
-66.6,125.7,20/25,30,180,150,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-30
-66.6,125.7,20/25,35,185,150,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-35
-66.6,125.7,20/25,40,190,150,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-40
-66.6,125.7,20/25,45,195,150,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.5-100-45
-55.0,176.0,25/30,50,200,150,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-20.0-100-50
-55.0,176.0,25/30,30,180,150,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-30
